FID,port_id,data_src_c,port_coor_,the_geom
portlocations.80,GBNPT,2110,3,POINT (51.567504883 -2.98608398399995)
portlocations.81,GBPTB,2110,1,POINT (51.5763205000001 -3.79768999999993)
portlocations.82,GBSWA,2110,1,POINT (51.6154785160001 -3.92980956999997)
portlocations.83,IEBYT,2107,7,POINT (51.6810913090001 -9.45898437499994)
portlocations.84,IEKLN,2110,3,POINT (51.701477051 -8.51770019499997)
portlocations.85,GBMLF,2109,1,POINT (51.709508015 -5.02986324399996)
portlocations.86,IEORK,2110,1,POINT (51.901672363 -8.43548583999996)
portlocations.87,GBFIS,2109,1,POINT (52.014709473 -4.98260497999996)
portlocations.88,IEROS,9998,1,POINT (52.255493164 -6.33862304699994)
portlocations.89,IEWAT,2108,6,POINT (52.262084961 -7.11218261699997)
portlocations.90,IENRS,2109,5,POINT (52.3942871090001 -6.94549560499996)
portlocations.91,IELMK,2108,1,POINT (52.66807284 -8.62538718799993)
portlocations.92,GBBOS,2109,5,POINT (52.968078613 -0.0158081049999623)
portlocations.93,IEGWY,5106,5,POINT (53.268676758 -9.04400634799993)
portlocations.94,IEDLG,2109,1,POINT (53.2973022460001 -6.13299560499996)
portlocations.95,GBHLY,2110,1,POINT (53.3126831050001 -4.62359619099993)
portlocations.96,GBCHE,2109,2,POINT (53.319885254 -3.26300048799993)
portlocations.97,IEDUB,2110,1,POINT (53.34784039 -6.22392966399997)
portlocations.98,GBLIV,2110,1,POINT (53.4450633120001 -3.01351072099993)
portlocations.99,GBMNC,2109,1,POINT (53.4711303710001 -2.29687499999994)
portlocations.100,GBIMM,2110,1,POINT (53.6308896150001 -0.188015618999941)
portlocations.101,GB203,9998,8,POINT (53.6588745120001 -0.690979003999928)
portlocations.102,GBGOO,2110,3,POINT (53.700073242 -0.86688232399996)
portlocations.103,IEDRO,2109,5,POINT (53.7166748050001 -6.33331298799993)
portlocations.104,GB221,9998,1,POINT (53.73930533 -0.27040470299994)
portlocations.105,GBHUL,9998,1,POINT (53.7426985000001 -0.296915499999955)
