FID,country,name,n_turbines,power_mw,status,year,dist_coast,notes,the_geom
windfarms.5,Denmark,Femern Bugt,,300,Planned,,10406.5028203,,POINT (54.4599999999001 11.4499999997003)
windfarms.6,Denmark,Freya,,1500,Planned,,60389.9591091,,POINT (57.2700000003998 7.53999999960035)
windfarms.7,Denmark,Gilleleje,,210,Planned,,6142.34724881,,POINT (56.1699999999001 12.3899999998002)
windfarms.8,Denmark,Gjerrild Bugt,,400,Planned,,9734.38123861,,POINT (56.4700000001999 11.1100000001999)
windfarms.9,Denmark,Guldborgsund,,500,Planned,,8306.53556388,,POINT (54.6600000003997 12.0900000003998)
windfarms.10,Denmark,Hanstholm Syd,,500,Planned,,15722.17106,,POINT (57.1800000003997 8.34999999960036)
windfarms.11,Denmark,Hirtshals Havn Offshore,,350,Planned,,4444.27710821,,POINT (57.6099999999001 9.87999999960033)
windfarms.12,Denmark,Jyske Banke Nord,,1050,Planned,,54148.6691375,,POINT (57.2900000000001 7.70000000000005)
windfarms.13,Denmark,Klintebjerg,,585,Planned,,12164.9108922,,POINT (56.0700000001 11.5600000001999)
windfarms.14,Denmark,Laeso,,540,Planned,,12084.0242744,,POINT (57.3200000002998 11.3999999998002)
windfarms.15,Denmark,Lolland,,253,Planned,,20502.8645695,,POINT (54.4199999998002 11.6500000001999)
windfarms.16,Denmark,Lolland Syd,,260,Planned,,5702.08848051,,POINT (54.6600000003997 11.2000000001999)
windfarms.17,Denmark,Lysegrund,,550,Planned,,10304.9555333,,POINT (56.21 12.1900000001999)
windfarms.18,Denmark,Norddjurs,,650,Planned,,18177.953132,,POINT (56.4700000001999 11.2500000001)
windfarms.19,Denmark,Odin (DK),,2250,Planned,,130406.897774,,POINT (56.9600000002998 5.90999999980022)
windfarms.20,Denmark,Romo,,500,Planned,,11281.939673,,POINT (55.1799999999001 8.28999999990015)
